,车站,lat,lng,geometry
247,莲花村,22.554522,114.074512,POINT (114.074512 22.554522)
248,冬瓜岭,22.565792,114.074191,POINT (114.074191 22.565792)
249,孖岭,22.573885,114.074247,POINT (114.074247 22.573885)
250,雅宝,22.609073,114.06687,POINT (114.06687 22.609073)
251,南坑,22.61661,114.067048,POINT (114.067048 22.61661)
252,光雅园,22.622193,114.06744,POINT (114.06744 22.622193)
253,五和,22.632054,114.067291,POINT (114.067291 22.632054)
254,坂田北,22.640759,114.069957,POINT (114.069957 22.640759)
255,贝尔路,22.647312,114.072963,POINT (114.072963 22.647312)
256,华为,22.65625,114.073896,POINT (114.073896 22.65625)
257,岗头,22.662603,114.078351,POINT (114.078351 22.662603)
258,雪象,22.66208,114.086485,POINT (114.086485 22.66208)
259,甘坑,22.653966,114.112476,POINT (114.112476 22.653966)
260,凉帽山,22.652839,114.1253,POINT (114.1253 22.652839)
261,上李朗,22.660266,114.133527,POINT (114.133527 22.660266)
262,木古,22.676708,114.128907,POINT (114.128907 22.676708)
263,华南城,22.682557,114.128699,POINT (114.128699 22.682557)
264,禾花,22.692145,114.12755,POINT (114.12755 22.692145)
265,平湖,22.699925,114.132448,POINT (114.132448 22.699925)
266,双拥街,22.704901,114.139355,POINT (114.139355 22.704901)
267,福田,22.545641,114.060784,POINT (114.060784 22.545641)
268,车公庙,22.541996,114.03365,POINT (114.03365 22.541996)
269,红树湾南,22.529139,113.977916,POINT (113.977916 22.529139)
270,后海,22.523707,113.947799,POINT (113.947799 22.523707)
271,南山,22.52975,113.93043,POINT (113.93043 22.52975)
272,前海湾,22.542733,113.904232,POINT (113.904232 22.542733)
273,宝安,22.56102,113.886846,POINT (113.886846 22.56102)
274,碧海湾,22.581116,113.862751,POINT (113.862751 22.581116)
275,机场,22.629272,113.820643,POINT (113.820643 22.629272)
276,机场北,22.6573,113.804835,POINT (113.804835 22.6573)
277,福永,22.679392,113.812576,POINT (113.812576 22.679392)
278,桥头,22.693717,113.817459,POINT (113.817459 22.693717)
279,塘尾,22.707808,113.824469,POINT (113.824469 22.707808)
280,马安山,22.722572,113.823606,POINT (113.823606 22.722572)
281,沙井,22.736069,113.830973,POINT (113.830973 22.736069)
282,后亭,22.758302,113.833406,POINT (113.833406 22.758302)
283,松岗,22.777998,113.836299,POINT (113.836299 22.777998)
284,碧头,22.790312,113.826539,POINT (113.826539 22.790312)
285,机场北,22.6573,113.804835,POINT (113.804835 22.6573)
286,国展南,22.69039,113.784952,POINT (113.784952 22.69039)
287,国展,22.700617,113.784365,POINT (113.784365 22.700617)
288,国展北,22.709394,113.783402,POINT (113.783402 22.709394)
289,会展城,22.718448,113.776218,POINT (113.776218 22.718448)
290,清湖,22.669994,114.0431,POINT (114.0431 22.669994)
291,清龙,22.671018,114.049126,POINT (114.049126 22.671018)
292,清湖小学,22.677891,114.049637,POINT (114.049637 22.677891)
293,梅龙北,22.681718,114.054802,POINT (114.054802 22.681718)
294,碧澜,22.68918,114.055926,POINT (114.055926 22.68918)
295,文澜,22.692166,114.05607,POINT (114.05607 22.692166)
296,大和,22.695592,114.056356,POINT (114.056356 22.695592)
297,世纪广场,22.700877,114.056133,POINT (114.056133 22.700877)
298,锦鲤,22.707104,114.056136,POINT (114.056136 22.707104)
299,河西,22.706688,114.063365,POINT (114.063365 22.706688)
300,观城,22.707091,114.068804,POINT (114.068804 22.707091)
301,大布头,22.71022,114.072284,POINT (114.072284 22.71022)
302,河东,22.575024,113.886818,POINT (113.886818 22.575024)
303,石角头,22.717188,114.06342,POINT (114.06342 22.717188)
304,新澜,22.720441,114.061883,POINT (114.061883 22.720441)
305,大和,22.695592,114.056356,POINT (114.056356 22.695592)
306,东庵,22.695513,114.060372,POINT (114.060372 22.695513)
307,高新区西,22.694732,114.065575,POINT (114.065575 22.694732)
308,高新区,22.694198,114.070697,POINT (114.070697 22.694198)
309,高新区东,22.695181,114.07761,POINT (114.07761 22.695181)
310,下围,22.696661,114.084186,POINT (114.084186 22.696661)
